seq_ID	annotation	annotation_type	SM	EO
Ev-comp1509540_c0_seq1		blast	2.4	2.9
Ev-comp1509601_c0_seq1	SPHK1	blast	7.3	4.9
Ev-comp151020_c0_seq1		blast	60.7	66.4
Ev-comp151052_c1_seq1		blast	12.1	8.2
Ev-comp1511850_c0_seq1		blast	0.0	3.7
Ev-comp1513709_c0_seq1		blast	0.0	1.2
Ev-comp1514132_c0_seq1		blast	7.3	2.1
Ev-comp1514434_c0_seq1	kcnk10a	blast	0.0	1.6
Ev-comp1515847_c0_seq1	dscama	blast	0.0	3.7
Ev-comp1516944_c0_seq1	JAKMIP1	blast	0.0	2.5
Ev-comp1519422_c0_seq1	efna2	blast	4.9	0.8
Ev-comp152173_c0_seq1		blast	0.0	3.7
Ev-comp1524797_c0_seq1		blast	0.0	0.4
Ev-comp1525554_c0_seq1	foxa3	blast	2.4	2.5
Ev-comp152618_c0_seq1		blast	9.7	7.0
Ev-comp1526770_c0_seq1		blast	0.0	2.9
Ev-comp1532081_c0_seq1	myrip	blast	0.0	2.1
Ev-comp153711_c0_seq1		blast	12.1	23.9
